file_name,classes,xmin,ymin,xmax,ymax
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0905.jpg,bart_simpson,52,112,213,282
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0706.jpg,ned_flanders,58,0,202,174
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0706.jpg,principal_skinner,133,144,280,271
/content/gdrive/My Drive/simpsons/bounding_data/comic_book_guy/pic_0121.jpg,comic_book_guy,86,4,266,156
/content/gdrive/My Drive/simpsons/bounding_data/comic_book_guy/pic_0121.jpg,comic_book_guy,68,0,300,254
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1129.jpg,principal_skinner,85,9,238,246
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0515.jpg,bart_simpson,104,33,196,273
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0454.jpg,lisa_simpson,55,12,191,255
/content/gdrive/My Drive/simpsons/bounding_data/comic_book_guy/pic_0240.jpg,comic_book_guy,72,16,243,273
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0363.jpg,lisa_simpson,131,176,202,273
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0363.jpg,lisa_simpson,103,121,217,282
/content/gdrive/My Drive/simpsons/bounding_data/sideshow_bob/pic_0649.jpg,sideshow_bob,53,0,267,281
/content/gdrive/My Drive/simpsons/bounding_data/sideshow_bob/pic_0649.jpg,sideshow_bob,100,8,233,219
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0869.jpg,bart_simpson,47,12,170,252
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0535.jpg,principal_skinner,226,27,295,131
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0535.jpg,principal_skinner,199,17,290,177
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0535.jpg,principal_skinner,164,8,298,282
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0673.jpg,moe_szyslak,4,32,221,225
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_0673.jpg,principal_skinner,0,37,235,215
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0272.jpg,milhouse_van_houten,150,16,300,201
/content/gdrive/My Drive/simpsons/bounding_data/sideshow_bob/pic_0721.jpg,sideshow_bob,37,38,194,247
/content/gdrive/My Drive/simpsons/bounding_data/edna_krabappel/pic_0399.jpg,edna_krabappel,54,12,273,202
/content/gdrive/My Drive/simpsons/bounding_data/bart_simpson/pic_0571.jpg,bart_simpson,89,53,281,286
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1178.jpg,principal_skinner,88,12,237,244
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_0538.jpg,ned_flanders,118,17,245,255
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1020.jpg,krusty_the_clown,76,8,277,280
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1020.jpg,krusty_the_clown,91,3,251,178
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0907.jpg,lisa_simpson,30,77,253,264
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0385.jpg,abraham_grampa_simpson,117,20,280,210
/content/gdrive/My Drive/simpsons/bounding_data/milhouse_van_houten/pic_0496.jpg,milhouse_van_houten,20,34,221,234
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0295.jpg,principal_skinner,128,5,210,192
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0295.jpg,principal_skinner,112,0,226,284
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_1027.jpg,marge_simpson,73,0,273,272
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1615.jpg,homer_simpson,92,0,248,272
/content/gdrive/My Drive/simpsons/bounding_data/marge_simpson/pic_0129.jpg,marge_simpson,70,90,172,266
/content/gdrive/My Drive/simpsons/bounding_data/homer_simpson/pic_1184.jpg,homer_simpson,105,22,272,211
/content/gdrive/My Drive/simpsons/bounding_data/abraham_grampa_simpson/pic_0603.jpg,abraham_grampa_simpson,86,13,256,294
/content/gdrive/My Drive/simpsons/bounding_data/ned_flanders/pic_1049.jpg,ned_flanders,118,23,246,274
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1182.jpg,principal_skinner,150,46,238,188
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1182.jpg,principal_skinner,127,38,253,237
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0495.jpg,lisa_simpson,92,78,213,232
/content/gdrive/My Drive/simpsons/bounding_data/moe_szyslak/pic_1103.jpg,moe_szyslak,108,52,242,222
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1187.jpg,krusty_the_clown,34,4,194,172
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1187.jpg,krusty_the_clown,94,0,212,146
/content/gdrive/My Drive/simpsons/bounding_data/krusty_the_clown/pic_1187.jpg,krusty_the_clown,76,6,166,114
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_0516.jpg,principal_skinner,97,84,250,227
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1006.jpg,principal_skinner,195,26,290,152
/content/gdrive/My Drive/simpsons/bounding_data/principal_skinner/pic_1006.jpg,principal_skinner,166,20,297,210
/content/gdrive/My Drive/simpsons/bounding_data/apu_nahasapeemapetilon/pic_0201.jpg,apu_nahasapeemapetilon,11,30,231,210
/content/gdrive/My Drive/simpsons/bounding_data/lisa_simpson/pic_0427.jpg,lisa_simpson,46,30,276,274
